long,lat
-43.7150846511374,-22.8583475854646
-43.714047071578,-22.8580489128754
-43.713897894309,-22.8580142894691
-43.7128738100949,-22.8578299439447
-43.712719913839,-22.8578100916753
-43.711505705886,-22.8577246388349
-43.7113557327861,-22.8577227924089
-43.7110420014286,-22.8577236097608
-43.710879802167,-22.857726452067
-43.7097772358745,-22.8578039117419
-43.7096752776323,-22.8578164975466
-43.7095708560454,-22.8578284155949
-43.7077410153982,-22.8582055906749
-43.7075940159546,-22.8582500073084
-43.7069784631421,-22.8584574527471
-43.7068254963813,-22.858514466669
-43.7066167235604,-22.8585994809221
-43.7050005389676,-22.8576722878132
-43.7048546316084,-22.8576116697333
-43.7043624456023,-22.8574219921689
-43.7042082013533,-22.8573670848752
-43.7039621602001,-22.8572830023253
-43.7038151618951,-22.8572348386471
-43.703575170487,-22.8571604188584
-43.703473401347,-22.8571236028716
-43.7034746395649,-22.8571204809641
-43.7034334616814,-22.8571064539219
-43.7033104129365,-22.8570645400047
-43.7032707486957,-22.8570526350375
-43.7031537085472,-22.8570170061777
-43.7031535483864,-22.8570174580481
-43.7029216610927,-22.8569478581254
-43.7024753306091,-22.8568090434052
-43.7024788077385,-22.856800083445
-43.7023216848986,-22.8567477135415
-43.7023102576122,-22.856743905727
-43.7020185635318,-22.856652002445
-43.7018762662605,-22.8566058590487
-43.7017134149199,-22.8565544026308
-43.7014646020989,-22.8564793505729
-43.7014559210795,-22.8564765614681
-43.701374824687,-22.856450875788
-43.7012242107353,-22.8564038560712
-43.7011394499396,-22.8563777949193
-43.7010062600435,-22.8563374701647
-43.700877922951904,-22.8562982954899
-43.6998206771359,-22.856035549027
-43.6996764128706,-22.8560076372162
-43.6996716502668,-22.8560287792162
-43.69889575221,-22.8558137440083
-43.6987443186987,-22.8557916428737
-43.6973582372904,-22.8556824878608
-43.6972070012727,-22.8556806174451
-43.6969699557253,-22.8556803575198
-43.6968223904898,-22.855681858874
-43.6967455368909,-22.8556829216663
-43.696638037055,-22.8556848011895
-43.6965211569418,-22.8556733287615
-43.6965187161715,-22.8556731308325
-43.6961839233928,-22.8556382349423
-43.6960337581253,-22.8556262551733
-43.6960139061628,-22.8556246903724
-43.696000085835,-22.8556236141906
-43.6959382910564,-22.8556166899234
-43.695874497462,-22.85560893238
-43.6957642334567,-22.8555944524251
-43.6953314669873,-22.8555539517879
-43.6952377837363,-22.8555392249567
-43.6951633171869,-22.8555277936883
-43.6950134475538,-22.8555053395713
-43.6950134203046,-22.8555054957802
-43.6946209405892,-22.8554404310979
-43.694553370285,-22.8554318612112
-43.6938132714419,-22.8553093304744
-43.6936488140353,-22.8552938009759
-43.6925067225647,-22.8552484075242
